 | S: 13.78 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 13.85 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 13.91 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 13.98 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.05 | T: 1.100 | N: 2.69 | P: 4.07 | A: 4.00 3.93 5.00 
 | S: 14.12 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.18 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.25 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.32 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.39 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.45 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.52 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.59 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.66 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 14.73 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.79 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.86 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 14.93 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.00 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.06 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.13 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.20 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.27 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.33 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 15.40 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.47 | T: 1.100 | N: 2.69 | P: 4.06 | A: 3.99 3.93 5.00 
 | S: 15.54 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.60 | T: 1.100 | N: 2.70 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.67 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.74 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.81 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 15.87 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.02 3.96 4.99 
 | S: 15.94 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.01 3.95 5.00 
 | S: 16.01 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
 | S: 16.08 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.93 5.00 
 | S: 16.14 | T: 1.100 | N: 2.69 | P: 4.06 | A: 4.00 3.94 5.00 
